time,phi,phi_exact
0.0,1.0,1.0
0.000125,0.999375115732829,0.9993751952718163
0.00015625,0.999218951318624,0.9992190550963239
0.0001875,0.99906281120646,0.9990629393158281
0.00021875,0.998906695459572,0.9989068479265173
0.00025,0.998750604096498,0.9987507809245809
0.00028125,0.99859453712088,0.9985947383062085
0.0003125,0.998438494531391,0.9984387200675904
0.00034375,0.998282476325047,0.9982827262049178
0.000375,0.998126482498316,0.998126756714382
0.00040625,0.997970513047478,0.9979708115921753
0.0004375,0.997814567968757,0.9978148908344905
0.00046875,0.997658647258353,0.9976589944375207
0.0005,0.997502750912462,0.9975031223974601
0.00053125,0.997346878927278,0.9973472747105031
0.0005625,0.997191031298996,0.9971914513728449
0.00059375,0.997035208023808,0.9970356523806811
0.000625,0.996879409097909,0.9968798777302081
0.00065625,0.996723634517495,0.9967241274176228
0.0006875,0.996567884278762,0.9965684014391227
0.00071875,0.996412158377905,0.996412699790906
0.00075,0.996256456811122,0.996257022469171
0.00078125,0.99610077957461,0.9961013694701175
0.0008125,0.995945126664567,0.995945740789945
0.00084375,0.995789498077192,0.9957901364248543
0.000875,0.995633893808684,0.995634556371046
0.00090625,0.995478313855243,0.9954790006247223
0.0009375,0.995322758213069,0.995323469182085
0.00096875,0.995167226878364,0.9951679620393372
0.001,0.995011719847329,0.9950124791926823
0.00103125,0.994856237116166,0.9948570206383243
0.0010625,0.994700778681079,0.9947015863724679
0.00109375,0.994545344538271,0.994546176391318
0.001125,0.994389934683945,0.9943907906910809
0.00115625,0.994234549114308,0.9942354292679627
0.0011875,0.994079187825562,0.9940800921181704
0.00121875,0.993923850813915,0.9939247792379117
0.00125,0.993768538075573,0.9937694906233947
0.00128125,0.993613249606743,0.9936142262708283
0.0013125,0.993457985403632,0.9934589861764217
0.00134375,0.993302745462449,0.9933037703363848
0.001375,0.993147529779402,0.9931485787469285
0.00140625,0.992992338350701,0.9929934114042636
0.0014375,0.992837171172556,0.992838268304602
0.00146875,0.992682028241177,0.9926831494441559
0.0015,0.992526909552776,0.9925280548191384
0.00153125,0.992371815103564,0.9923729844257629
0.0015625,0.992216744889753,0.9922179382602435
0.00159375,0.992061698907557,0.992062916318795
0.001625,0.991906677153188,0.9919079185976324
0.00165625,0.991751679622862,0.9917529450929718
0.0016875,0.991596706312793,0.9915979958010298
0.00171875,0.991441757219195,0.9914430707180232
0.00175,0.991286832338286,0.9912881698401698
0.00178125,0.991131931666281,0.9911332931636876
0.0018125,0.990977055199397,0.9909784406847958
0.00184375,0.990822202933853,0.9908236123997135
0.001875,0.990667374865866,0.990668808304661
0.00190625,0.990512570991655,0.9905140283958587
0.0019375,0.99035779130744,0.9903592726695277
0.00196875,0.99020303580944,0.99020454112189
0.002,0.990048304493877,0.9900498337491681
0.00203125,0.989893597356971,0.9898951505475846
0.0020625,0.989738914394944,0.9897404915133632
0.00209375,0.989584255604019,0.9895858566427281
0.002125,0.989429620980419,0.989431245931904
0.00215625,0.989275010520366,0.9892766593771163
0.0021875,0.989120424220086,0.9891220969745907
0.00221875,0.988965862075803,0.988967558720554
0.00225,0.988811324083743,0.9888130446112331
0.00228125,0.98865681024013,0.9886585546428557
0.0023125,0.988502320541193,0.98850408881165
0.00234375,0.988347854983157,0.9883496471138451
0.002375,0.988193413562252,0.9881952295456702
0.00240625,0.988038996274704,0.9880408361033555
0.0024375,0.987884603116742,0.9878864667831315
0.00246875,0.987730234084597,0.9877321215812296
0.0025,0.987575889174498,0.9875778004938814
0.00253125,0.987421568382676,0.9874235035173194
0.0025625,0.987267271705362,0.9872692306477767
0.00259375,0.987112999138788,0.9871149818814866
0.002625,0.986958750679187,0.9869607572146836
0.00265625,0.98680452632279,0.9868065566436021
0.0026875,0.986650326065833,0.9866523801644776
0.00271875,0.986496149904549,0.9864982277735461
0.00275,0.986341997835172,0.986344099467044
0.00278125,0.986187869853939,0.9861899952412084
0.0028125,0.986033765957085,0.9860359150922772
0.00284375,0.985879686140846,0.9858818590164883
0.002875,0.98572563040146,0.9857278270100809
0.00290625,0.985571598735165,0.9855738190692942
0.0029375,0.985417591138198,0.9854198351903685
0.00296875,0.985263607606799,0.9852658753695442
0.003,0.985109648137206,0.9851119396030626
0.00303125,0.984955712725661,0.9849580278871656
0.0030625,0.984801801368404,0.9848041402180955
0.00309375,0.984647914061676,0.9846502765920953
0.003125,0.984494050801718,0.9844964370054085
0.00315625,0.984340211584774,0.9843426214542792
0.0031875,0.984186396407086,0.9841888299349523
0.00321875,0.984032605264897,0.984035062443673
0.00325,0.983878838154453,0.9838813189766874
0.00328125,0.983725095071997,0.9837275995302418
0.0033125,0.983571376013774,0.9835739041005833
0.00334375,0.983417680976032,0.9834202326839596
0.003375,0.983264009955016,0.983266585276619
0.00340625,0.983110362946974,0.9831129618748105
0.0034375,0.982956739948153,0.9829593624747831
0.00346875,0.982803140954801,0.9828057870727872
0.0035,0.982649565963168,0.9826522356650732
0.00353125,0.982496014969503,0.9824987082478923
0.0035625,0.982342487970055,0.9823452048174964
0.00359375,0.982188984961075,0.9821917253701378
0.003625,0.982035505938815,0.9820382699020693
0.00365625,0.981882050899527,0.9818848384095445
0.0036875,0.981728619839462,0.9817314308888178
0.00371875,0.981575212754873,0.9815780473361435
0.00375,0.981421829642015,0.9814246877477771
0.00378125,0.981268470497142,0.9812713521199744
0.0038125,0.981115135316507,0.9811180404489919
0.00384375,0.980961824096366,0.9809647527310865
0.003875,0.980808536832976,0.980811488962516
0.00390625,0.980655273522593,0.9806582491395386
0.0039375,0.980502034161473,0.980505033258413
