time,phi,phi_exact
0.0,1.0,1.0
0.000125,0.999978660376278,0.3153223623952687
0.00015625,0.999967659076852,0.008296231623858378
0.0001875,0.999954226495094,-0.29953350618957414
0.00021875,0.999938355965833,-0.5783491993368335
0.00025,0.999920045295161,-0.8011436155469337
0.00028125,0.999899293783563,-0.9463359733389455
0.0003125,0.99987610123363,-0.9998623450816866
0.00034375,0.999850467619292,-0.9565379467410825
0.000375,0.999822392975568,-0.8205593573395608
0.00040625,0.999791877361813,-0.6050980210895829
0.0004375,0.999758920849463,-0.3310244072528874
0.00046875,0.99972352351796,-0.02488641083740215
0.0005,0.999685685453381,0.28366218546322625
0.00053125,0.999645406747991,0.5647340983576067
0.0005625,0.999602687500089,0.7911035488707386
0.00059375,0.999557527813958,0.9408434630275048
0.000625,0.999509927799846,0.9994494182244994
0.00065625,0.999459887573963,0.961244601128148
0.0006875,0.999407407258477,0.8299296871112918
0.00071875,0.999352486981514,0.618224377649359
0.00075,0.999295126877156,0.3466353178350258
0.00078125,0.999235327085442,0.04146973857724405
0.0008125,0.999173087752369,-0.2677127697469413
0.00084375,0.999108409029887,-0.5509635205260235
0.000875,0.999041291075904,-0.7808456836057491
0.00090625,0.998971734054281,-0.9350919292559664
0.0009375,0.998899738134836,-0.998761333111264
0.00096875,0.998825303493339,-0.9656866154211187
0.001,0.998748430311517,-0.8390715290764524
0.00103125,0.998669118777047,-0.6311805309567257
0.0010625,0.998587369083562,-0.36215079630444197
0.00109375,0.998503181430644,-0.05804164929013152
0.001125,0.998416556023832,0.2516896500717544
0.00115625,0.998327493074612,0.537041257017617
0.0011875,0.998235992800423,0.7703728438431753
0.00121875,0.998142055424654,0.9290829554781537
0.00125,0.998045681176646,0.9977982791785807
0.00128125,0.997946870291685,0.9698627666897649
0.0013125,0.997845623011011,0.8479823663960249
0.00134375,0.997741939581808,0.6439629140552339
0.001375,0.99763582025721,0.3775665710972933
0.00140625,0.997527265296297,0.0745975805660389
0.0014375,0.997416274964097,-0.23559723776012562
0.00146875,0.99730284953158,-0.5229711407684791
0.0015,0.997186989275666,-0.7596879128588213
0.00153125,0.997068694479215,-0.9228181960236553
0.0015625,0.996947965431034,-0.9965605215646701
0.00159375,0.99682480242587,-0.9737719051985638
0.001625,0.996699205764416,-0.8566597458288424
0.00165625,0.996571175753302,-0.6565680078290772
0.0016875,0.996440712705103,-0.3928783980991401
0.00171875,0.996307816938331,-0.09113297439422614
0.00175,0.99617248877744,0.2194399632114593
0.00178125,0.99603472855282,0.5087570454200157
0.0018125,0.9958945366008,0.7487938323192908
0.00184375,0.995751913263645,0.9162993756423735
0.001875,0.995606858889556,0.9950484010363788
0.00190625,0.99545937383267,0.9774129547232299
0.0019375,0.995309458453059,0.8651012784069909
0.00196875,0.995157113116725,0.668992341971952
0.002,0.995002338195607,0.40808206181339196
0.00203125,0.994845134067573,0.10764327841812157
0.0020625,0.994685501116421,-0.2032222746823719
0.00209375,0.99452343973188,-0.49440288425249485
0.002125,0.994358950309608,-0.7376936014721172
0.00215625,0.99419203325119,-0.9095282890296839
0.0021875,0.994022688964139,-0.9932623338953628
0.00221875,0.993850917861893,-0.9807849128470152
0.00225,0.993676720363814,-0.8733046400935156
0.00228125,0.99350009689519,-0.6812324959424539
0.0023125,0.99332104788723,-0.4231733765218757
0.00234375,0.993139573777065,-0.12412394718862174
0.002375,0.992955675007748,0.18694863706204273
0.00240625,0.992769352028249,0.4799126091076827
0.0024375,0.992580605293459,0.7263902763200416
0.00246875,0.992389435264185,0.9025068003323309
0.0025,0.992195842407151,0.9912028118634736
0.00253125,0.991999827194995,0.9838868512366772
0.0025625,0.99180139010627,0.8812675724222507
0.00259375,0.991600531625442,0.693285099905793
0.002625,0.991397252242888,0.43814818743720435
0.00265625,0.991191552454894,0.1405704434154964
0.0026875,0.990983432763658,-0.17062353064298288
0.00271875,0.990772893677285,-0.4652902093008588
0.00275,0.990559935709785,-0.7148869687796651
0.00278125,0.990344559381076,-0.8952368426352254
0.0028125,0.990126765216978,-0.9888704019473866
0.00284375,0.989906553749215,-0.9867179158980666
0.002875,0.989683925515413,-0.8889878831195976
0.00290625,0.989458881059098,-0.7051468356615412
0.0029375,0.989231420929695,-0.4530023718466313
0.00296875,0.989001545682526,-0.15697823921656684
0.003,0.988769255878809,0.15425144988758405
0.00303125,0.988534552085659,0.4505397105225345
0.0030625,0.988297434876083,0.7031868458247073
0.00309375,0.98805790482898,0.8877204174292317
0.003125,0.987815962529139,0.9862657462824945
0.00315625,0.987571608567241,0.9892773274112329
0.0031875,0.987324843539853,0.8964634467080813
0.00321875,0.987075668049428,0.7168144375571656
0.00325,0.986824082704304,0.4677318402470736
0.00328125,0.986570088118704,0.17334281736424106
0.0033125,0.986313684912731,-0.1378369021907137
0.00334375,0.98605487371237,-0.43566517373010916
0.003375,0.985793655149483,-0.6912931286141072
0.00340625,0.985530029861812,-0.8799595940601451
0.0034375,0.985263998492972,-0.9833895619561226
0.00346875,0.984995561692455,-0.9915643811450119
0.0035,0.984724720115622,-0.9036922050915067
0.00353125,0.984451474423709,-0.7282846933870942
0.0035625,0.984175825283818,-0.4823325374709923
0.00359375,0.983897773368922,-0.1896596725291863
0.003625,0.983617319357858,0.1213844066388201
0.00365625,0.983334463935328,0.4206706940298802
0.0036875,0.983049207791897,0.6792090916052071
0.00371875,0.982761551623991,0.8719565091589797
0.00375,0.982471496133895,0.9802426408101081
0.00378125,0.982179042029752,0.9935784474510124
0.0038125,0.981884190025562,0.910672168121589
